"","x"
"1",0
"2",1.17795884973988
"3",1.46078515158746
"4",2.27469087938625
"5",1.79588005622864
"6",-0.248514846751345
"7",-2.0847497489301
"8",-3.16636642768867
"9",-5.0117488775684
"10",-4.73017576261373
"11",-4.57752667083089
"12",-4.83404190059823
"13",-6.0069997670052
"14",-6.06971241040284
"15",-6.18820536874363
"16",-5.8736920302174
"17",-5.41861948008981
"18",-5.01597044539804
"19",-3.85452492135895
"20",-2.99841937000709
"21",-2.6570537510726
"22",-1.2983670397245
"23",-0.379466686091895
"24",-1.01669747802568
"25",-1.4313035858547
"26",-2.325694511259
"27",-1.66140412502843
"28",0.033311317263321
"29",-0.556835973716343
"30",-0.0141136675625237
"31",-0.88254609696039
"32",-3.09307000151444
"33",-5.11925348240622
"34",-5.5634888226281
"35",-6.95707430052734
"36",-7.64073046006187
"37",-6.82354936202977
"38",-4.84797252695205
"39",-4.10935548551623
"40",-1.95640061212015
"41",-0.761280491774089
"42",0.359929996443132
"43",2.44876811354314
"44",4.17926315004889
"45",8.06072443344478
"46",12.319983659087
"47",14.1801613249153
"48",16.1788374278345
"49",17.9472823026522
"50",18.7032808566971
"51",20.0020222030446
"52",21.352335943387
"53",22.8023366277045
"54",23.9956541005066
"55",25.9619606868725
"56",27.1461059415626
"57",28.7217327660995
"58",28.7864584442784
"59",30.3548770637624
"60",31.7117551069427
"61",33.4784647192534
"62",34.2004479360759
"63",36.2938283569679
"64",37.2275597239899
"65",39.392088896782
"66",40.7758273851543
"67",39.5440112818104
"68",37.2902297509091
"69",35.1368102847031
"70",33.0856402976287
"71",30.0975310949992
"72",27.9494743462501
"73",26.700576032621
"74",24.729398877319
"75",25.4152171550317
"76",23.9700997334483
"77",23.2109275710148
"78",22.0150738241212
"79",23.6329587420917
"80",24.5223024531244
"81",25.0635741147706
"82",24.9293950901549
"83",25.0820915210619
"84",25.9786216740082
"85",27.608891768037
"86",30.1125850862179
"87",32.5382865113128
"88",35.5553617997378
"89",39.0157505701033
"90",41.4393396373101
"91",45.0916916774838
"92",46.7155080096826
"93",47.4276555761686
"94",47.5978885954391
"95",49.2449994745866
"96",51.8706738030438
"97",53.2078261261398
"98",52.7000390698325
"99",53.3600315452237
"100",51.7009410697671
"101",51.8970535369863
